url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://tuyensinh.uit.edu.vn/2025-phuong-thuc-tuyen-sinh-nam-2025,2025-phuong-thuc-tuyen-sinh-nam-2025,Phương thức tuyển sinh năm 2025,student,admissions,admissions,vi,2025,public
https://tuyensinh.uit.edu.vn/truong-dai-hoc-cong-nghe-thong-tin-dhqg-hcm,trường-đại-học-công-nghệ-thông-tin-dhqg-hcm,Trường Đại học Công nghệ Thông tin ĐHQG-HCM,student,university,university,vi,2025,public
https://tuyensinh.uit.edu.vn/nganh-dao-tao/nganh-thiet-ke-vi-mach,nganh-thiet-ke-vi-mach,Ngành Thiết kế vi mạch,student,admissions,major,vi,2025,public
https://tuyensinh.uit.edu.vn/nganh-dao-tao/nganh-khoa-hoc-may-tinh,nganh-khoa-hoc-may-tinh,Ngành Khoa học máy tính,student,admissions,major,vi,2025,public
https://tuyensinh.uit.edu.vn/nganh-dao-tao/nganh-khoa-hoc-may-tinh-chuong-trinh-lien-ket-quoc-te,nganh-khoa-hoc-may-tinh-chuong-trinh-lien-ket-quoc-te,Ngành Khoa học máy tính - Chương trình liên kết quốc tế,student,admissions,major,vi,2025,public
https://tuyensinh.uit.edu.vn/nganh-dao-tao/nganh-ky-thuat-may-tinh,nganh-ky-thuat-may-tinh,Ngành Kỹ thuật máy tính,student,admissions,major,vi,2025,public
